1-63 2-48 3-29 4-11 5-39 6-49 7-37 8-42 9-55 10-37 11-36 12-60 13-40 14-36 15-46 16-42 
1-67 2-72 3-27 4-70 5-48 6-39 7-29 8-51 9-60 10-72 11-73 12-78 13-34 14-62 15-78 16-61 
1-19 2-29 3-41 4-33 5-30 6-56 7-27 8-49 9-42 10-60 11-43 12-37 13-28 14-38 15-55 16-38 
1-37 2-55 3-48 4-37 5-81 6-40 7-46 8-43 9-41 10-42 11-28 12-25 13-55 14-56 15-72 16-10 
1-16 2-57 3-37 4-26 5-48 6-41 7-65 8-40 9-43 10-38 11-31 12-43 13-52 14-56 15-49 16-43 
1-48 2-50 3-60 4-20 5-32 6-74 7-40 8-45 9-5 10-55 11-58 12-33 13-36 14-54 15-79 16-32 
1-58 2-67 3-48 4-73 5-58 6-40 7-39 8-38 9-19 10-43 11-33 12-62 13-32 14-49 15-42 16-67 
1-63 2-14 3-52 4-19 5-36 6-83 7-40 8-53 9-65 10-53 11-53 12-54 13-50 14-34 15-42 16-40 
1-64 2-35 3-67 4-82 5-29 6-32 7-45 8-61 9-33 10-45 11-57 12-39 13-37 14-48 15-32 16-30 
1-61 2-50 3-62 4-62 5-37 6-38 7-59 8-53 9-29 10-38 11-70 12-45 13-44 14-49 15-44 16-50 
1-51 2-41 3-59 4-71 5-58 6-44 7-51 8-41 9-41 10-71 11-54 12-33 13-32 14-36 15-37 16-46 
1-73 2-67 3-31 4-48 5-38 6-60 7-33 8-45 9-25 10-63 11-32 12-50 13-65 14-77 15-30 16-54 
1-27 2-53 3-36 4-74 5-45 6-57 7-72 8-54 9-53 10-22 11-63 12-69 13-59 14-43 15-32 16-62 
1-31 2-22 3-65 4-67 5-53 6-60 7-31 8-55 9-53 10-64 11-38 12-63 13-53 14-38 15-34 16-86 
1-12 2-51 3-33 4-55 5-59 6-51 7-29 8-72 9-50 10-37 11-68 12-60 13-51 14-6 15-23 16-55 
1-31 2-59 3-37 4-23 5-76 6-55 7-12 8-63 9-40 10-87 11-62 12-31 13-55 14-26 15-26 16-64 
1-54 2-20 3-51 4-35 5-63 6-37 7-51 8-60 9-48 10-32 11-49 12-12 13-49 14-68 15-37 16-56 
1-26 2-58 3-62 4-53 5-37 6-80 7-46 8-37 9-27 10-70 11-25 12-58 13-34 14-69 15-59 16-45 
1-52 2-41 3-47 4-42 5-52 6-31 7-45 8-25 9-51 10-64 11-56 12-47 13-56 14-52 15-26 16-44 
1-49 2-46 3-41 4-22 5-63 6-31 7-39 8-51 9-41 10-52 11-44 12-50 13-42 14-56 15-64 16-33 
1-54 2-80 3-56 4-35 5-28 6-80 7-55 8-55 9-55 10-31 11-39 12-30 13-34 14-44 15-61 16-37 
1-32 2-35 3-43 4-38 5-52 6-22 7-13 8-49 9-47 10-40 11-38 12-67 13-26 14-50 15-42 16-30 
1-14 2-57 3-64 4-53 5-29 6-47 7-40 8-40 9-63 10-49 11-64 12-42 13-55 14-33 15-51 16-77 
1-66 2-20 3-50 4-31 5-27 6-78 7-43 8-59 9-40 10-69 11-65 12-52 13-62 14-52 15-44 16-43 
1-66 2-35 3-45 4-65 5-45 6-38 7-51 8-44 9-63 10-57 11-54 12-39 13-58 14-18 15-50 16-9 
1-30 2-37 3-59 4-12 5-51 6-46 7-26 8-33 9-65 10-63 11-59 12-54 13-52 14-15 15-51 16-41 
1-51 2-22 3-54 4-41 5-33 6-64 7-34 8-37 9-68 10-49 11-33 12-57 13-49 14-54 15-50 16-39 
1-81 2-30 3-59 4-42 5-71 6-49 7-73 8-30 9-68 10-49 11-27 12-48 13-46 14-35 15-76 16-64 
1-47 2-39 3-52 4-10 5-28 6-31 7-74 8-40 9-50 10-40 11-67 12-71 13-65 14-18 15-31 16-53 
1-63 2-72 3-35 4-69 5-48 6-68 7-66 8-27 9-18 10-30 11-33 12-44 13-52 14-17 15-63 16-39 
1-78 2-45 3-51 4-64 5-74 6-65 7-38 8-62 9-33 10-23 11-78 12-35 13-19 14-52 15-31 16-49 
1-55 2-63 3-53 4-47 5-50 6-44 7-18 8-56 9-47 10-60 11-26 12-63 13-52 14-50 15-55 16-47 
1-97 2-59 3-49 4-34 5-37 6-36 7-66 8-61 9-34 10-55 11-30 12-87 13-27 14-73 15-32 16-59 
1-78 2-50 3-52 4-54 5-62 6-63 7-20 8-44 9-51 10-37 11-56 12-70 13-72 14-35 15-61 16-35 
1-38 2-82 3-56 4-62 5-53 6-26 7-77 8-40 9-55 10-91 11-15 12-31 13-37 14-39 15-42 16-29 
1-15 2-56 3-28 4-56 5-66 6-35 7-22 8-52 9-43 10-59 11-81 12-50 13-63 14-25 15-37 16-49 
1-39 2-43 3-30 4-43 5-57 6-43 7-46 8-68 9-34 10-53 11-26 12-41 13-59 14-27 15-23 16-68 
1-48 2-39 3-38 4-33 5-70 6-41 7-26 8-25 9-54 10-78 11-46 12-58 13-26 14-53 15-58 16-12 
1-31 2-30 3-65 4-30 5-28 6-32 7-41 8-42 9-70 10-53 11-43 12-41 13-56 14-53 15-81 16-29 
1-51 2-74 3-45 4-48 5-60 6-42 7-62 8-38 9-53 10-70 11-50 12-39 13-56 14-47 15-50 16-59 
1-42 2-40 3-32 4-51 5-26 6-75 7-36 8-77 9-58 10-59 11-70 12-61 13-29 14-10 15-55 16-49 
1-27 2-23 3-62 4-88 5-61 6-43 7-38 8-44 9-32 10-37 11-49 12-59 13-70 14-49 15-61 16-74 
1-53 2-65 3-36 4-74 5-30 6-84 7-54 8-76 9-81 10-58 11-56 12-50 13-60 14-46 15-31 16-37 
1-50 2-50 3-46 4-32 5-43 6-37 7-81 8-49 9-31 10-55 11-28 12-74 13-57 14-37 15-48 16-43 
1-75 2-66 3-58 4-66 5-46 6-47 7-37 8-31 9-45 10-71 11-53 12-62 13-57 14-51 15-7 16-59 
1-51 2-79 3-47 4-72 5-38 6-47 7-56 8-38 9-40 10-38 11-44 12-40 13-65 14-52 15-75 16-78 
1-29 2-59 3-40 4-29 5-20 6-37 7-48 8-65 9-51 10-51 11-33 12-30 13-62 14-43 15-24 16-46 
1-36 2-65 3-37 4-32 5-30 6-23 7-61 8-32 9-61 10-50 11-63 12-44 13-64 14-62 15-81 16-94 
1-59 2-38 3-39 4-49 5-37 6-28 7-54 8-67 9-66 10-62 11-32 12-47 13-61 14-56 15-65 16-60 
1-70 2-16 3-51 4-68 5-48 6-46 7-30 8-37 9-36 10-38 11-41 12-34 13-63 14-43 15-65 16-32 
1-51 2-61 3-56 4-44 5-40 6-46 7-78 8-42 9-24 10-36 11-65 12-46 13-20 14-44 15-54 16-54 
1-59 2-24 3-56 4-36 5-68 6-36 7-25 8-83 9-27 10-50 11-52 12-65 13-70 14-44 15-43 16-37 
1-51 2-80 3-44 4-31 5-19 6-65 7-37 8-68 9-70 10-42 11-65 12-38 13-90 14-43 15-57 16-7 
1-75 2-31 3-52 4-37 5-71 6-42 7-65 8-42 9-22 10-79 11-62 12-30 13-52 14-28 15-65 16-61 
1-43 2-45 3-77 4-38 5-41 6-46 7-58 8-48 9-42 10-38 11-40 12-43 13-33 14-28 15-23 16-25 
1-50 2-52 3-34 4-82 5-63 6-59 7-49 8-47 9-65 10-38 11-23 12-58 13-79 14-39 15-47 16-67 
1-36 2-34 3-40 4-58 5-57 6-60 7-39 8-54 9-58 10-39 11-43 12-36 13-38 14-26 15-29 16-61 
1-35 2-63 3-17 4-59 5-36 6-26 7-45 8-32 9-39 10-53 11-38 12-39 13-68 14-47 15-27 16-50 
1-33 2-14 3-48 4-55 5-58 6-55 7-51 8-44 9-23 10-25 11-48 12-33 13-51 14-47 15-5 16-37 
1-53 2-47 3-44 4-51 5-55 6-46 7-29 8-38 9-48 10-54 11-35 12-32 13-64 14-52 15-68 16-48 
1-78 2-54 3-39 4-14 5-29 6-63 7-21 8-68 9-17 10-68 11-49 12-44 13-49 14-78 15-53 16-63 
1-49 2-83 3-71 4-34 5-39 6-45 7-56 8-45 9-49 10-57 11-31 12-54 13-28 14-74 15-44 16-31 
1-53 2-39 3-38 4-62 5-27 6-47 7-37 8-58 9-66 10-26 11-61 12-74 13-40 14-30 15-74 16-34 
1-23 2-74 3-61 4-70 5-62 6-51 7-35 8-51 9-43 10-38 11-56 12-65 13-39 14-43 15-54 16-44 
1-52 2-46 3-41 4-51 5-65 6-55 7-60 8-58 9-31 10-49 11-42 12-42 13-56 14-53 15-77 16-63 
1-37 2-31 3-16 4-84 5-47 6-74 7-62 8-51 9-45 10-55 11-58 12-47 13-38 14-62 15-55 16-16 
1-57 2-56 3-36 4-66 5-32 6-67 7-49 8-70 9-51 10-45 11-37 12-41 13-38 14-62 15-47 16-65 
1-40 2-25 3-65 4-65 5-54 6-64 7-54 8-59 9-22 10-58 11-39 12-42 13-34 14-54 15-48 16-30 
1-46 2-64 3-39 4-47 5-58 6-44 7-45 8-59 9-17 10-37 11-37 12-22 13-50 14-50 15-56 16-56 
1-53 2-54 3-65 4-71 5-20 6-38 7-57 8-47 9-49 10-38 11-19 12-25 13-43 14-53 15-46 16-31 
1-40 2-76 3-67 4-44 5-42 6-56 7-54 8-56 9-27 10-48 11-32 12-42 13-17 14-49 15-67 16-74 
1-36 2-53 3-67 4-10 5-56 6-21 7-67 8-12 9-9 10-32 11-19 12-34 13-52 14-51 15-28 16-52 
1-44 2-45 3-19 4-54 5-79 6-79 7-49 8-15 9-22 10-51 11-89 12-52 13-70 14-45 15-42 16-47 
1-63 2-42 3-45 4-72 5-46 6-27 7-51 8-35 9-54 10-70 11-47 12-40 13-50 14-63 15-6 16-49 
1-67 2-48 3-38 4-48 5-57 6-42 7-1 8-74 9-65 10-76 11-58 12-22 13-40 14-44 15-78 16-59 
1-60 2-65 3-19 4-37 5-30 6-61 7-55 8-84 9-47 10-26 11-47 12-43 13-42 14-54 15-61 16-33 
1-34 2-39 3-38 4-32 5-45 6-51 7-48 8-68 9-54 10-67 11-52 12-44 13-67 14-36 15-13 16-51 
1-48 2-63 3-50 4-64 5-47 6-56 7-31 8-50 9-51 10-16 11-48 12-16 13-17 14-53 15-69 16-56 
1-38 2-34 3-30 4-55 5-44 6-41 7-39 8-33 9-67 10-66 11-33 12-56 13-67 14-54 15-54 16-32 
1-61 2-65 3-52 4-55 5-36 6-53 7-58 8-5 9-52 10-31 11-76 12-52 13-23 14-83 15-51 16-16 
1-70 2-49 3-52 4-25 5-43 6-58 7-65 8-26 9-14 10-52 11-44 12-11 13-14 14-41 15-56 16-62 
1-49 2-54 3-33 4-48 5-54 6-68 7-50 8-29 9-42 10-38 11-50 12-55 13-55 14-60 15-55 16-62 
1-43 2-60 3-56 4-71 5-40 6-69 7-36 8-51 9-61 10-17 11-67 12-60 13-25 14-52 15-48 16-50 
1-57 2-64 3-51 4-27 5-56 6-52 7-27 8-76 9-39 10-51 11-47 12-46 13-51 14-97 15-47 16-63 
1-46 2-76 3-42 4-64 5-48 6-50 7-32 8-69 9-31 10-46 11-15 12-27 13-25 14-40 15-60 16-22 
1-36 2-67 3-38 4-27 5-20 6-54 7-56 8-30 9-54 10-46 11-61 12-60 13-59 14-22 15-39 16-6 
1-47 2-51 3-72 4-79 5-38 6-49 7-69 8-48 9-46 10-67 11-58 12-65 13-34 14-20 15-11 16-67 
1-51 2-77 3-27 4-44 5-79 6-40 7-44 8-19 9-48 10-47 11-50 12-34 13-52 14-43 15-63 16-44 
1-28 2-44 3-29 4-61 5-47 6-36 7-51 8-39 9-41 10-46 11-41 12-63 13-50 14-45 15-70 16-39 
1-38 2-50 3-67 4-21 5-37 6-33 7-36 8-2 9-55 10-21 11-21 12-68 13-60 14-41 15-25 16-48 
1-51 2-58 3-84 4-25 5-27 6-52 7-39 8-24 9-48 10-74 11-45 12-39 13-22 14-73 15-56 16-48 
1-21 2-71 3-36 4-23 5-47 6-51 7-57 8-45 9-30 10-43 11-50 12-54 13-66 14-71 15-51 16-56 
1-51 2-37 3-65 4-55 5-51 6-42 7-58 8-48 9-60 10-32 11-65 12-50 13-68 14-61 15-59 16-66 
1-28 2-65 3-65 4-48 5-71 6-22 7-48 8-64 9-76 10-46 11-51 12-53 13-54 14-75 15-34 16-34 
1-57 2-47 3-40 4-43 5-79 6-32 7-46 8-54 9-39 10-46 11-72 12-67 13-65 14-55 15-25 16-43 
1-39 2-33 3-38 4-47 5-37 6-53 7-23 8-49 9-53 10-19 11-46 12-44 13-63 14-34 15-45 16-46 
1-33 2-50 3-43 4-28 5-63 6-39 7-35 8-70 9-67 10-49 11-59 12-45 13-84 14-33 15-40 16-25 
1-78 2-60 3-46 4-35 5-43 6-62 7-32 8-71 9-36 10-51 11-48 12-46 13-59 14-39 15-29 16-46 
1-67 2-14 3-62 4-80 5-57 6-56 7-22 8-47 9-26 10-46 11-54 12-35 13-51 14-36 15-38 16-63 
1-50 2-50 3-31 4-49 5-60 6-44 7-48 8-52 9-49 10-30 11-65 12-45 13-65 14-60 15-65 16-28 
1-59 2-30 3-59 4-60 5-57 6-58 7-32 8-29 9-42 10-34 11-58 12-26 13-88 14-54 15-44 16-53 
1-32 2-38 3-72 4-61 5-61 6-36 7-41 8-43 9-59 10-0 11-100 12-31 13-47 14-51 15-41 16-44 
1-67 2-48 3-26 4-74 5-63 6-53 7-24 8-74 9-75 10-26 11-30 12-35 13-64 14-16 15-53 16-64 
1-30 2-43 3-27 4-70 5-48 6-40 7-27 8-38 9-28 10-79 11-35 12-48 13-45 14-64 15-70 16-11 
1-81 2-40 3-37 4-47 5-87 6-46 7-43 8-47 9-12 10-30 11-62 12-57 13-60 14-57 15-53 16-5 
1-39 2-58 3-24 4-57 5-48 6-24 7-58 8-25 9-54 10-41 11-30 12-20 13-61 14-61 15-45 16-27 
1-46 2-40 3-81 4-51 5-81 6-36 7-59 8-54 9-64 10-56 11-62 12-42 13-40 14-11 15-50 16-53 
1-42 2-72 3-48 4-63 5-56 6-82 7-68 8-55 9-43 10-42 11-49 12-38 13-65 14-53 15-72 16-43 
1-58 2-31 3-7 4-38 5-86 6-46 7-57 8-39 9-48 10-44 11-60 12-42 13-62 14-55 15-39 16-38 
1-54 2-24 3-54 4-56 5-43 6-73 7-48 8-53 9-32 10-55 11-56 12-52 13-68 14-54 15-42 16-43 
1-41 2-57 3-32 4-56 5-45 6-52 7-51 8-30 9-68 10-49 11-41 12-39 13-40 14-33 15-56 16-45 
1-64 2-63 3-56 4-61 5-46 6-33 7-43 8-62 9-18 10-94 11-44 12-51 13-65 14-51 15-23 16-50 
1-52 2-55 3-67 4-38 5-54 6-14 7-48 8-57 9-55 10-35 11-40 12-53 13-39 14-66 15-41 16-22 
1-49 2-33 3-64 4-27 5-44 6-39 7-60 8-30 9-34 10-46 11-38 12-64 13-55 14-64 15-29 16-64 
1-54 2-54 3-46 4-54 5-62 6-26 7-70 8-26 9-54 10-51 11-32 12-59 13-73 14-37 15-71 16-24 
1-37 2-44 3-42 4-41 5-22 6-15 7-45 8-45 9-31 10-63 11-23 12-32 13-36 14-83 15-67 16-48 
1-60 2-39 3-19 4-51 5-40 6-83 7-29 8-62 9-43 10-61 11-48 12-68 13-46 14-29 15-24 16-37 
1-28 2-48 3-45 4-35 5-33 6-12 7-68 8-46 9-47 10-60 11-36 12-68 13-47 14-55 15-56 16-42 
1-41 2-19 3-44 4-42 5-52 6-66 7-52 8-58 9-66 10-52 11-62 12-50 13-20 14-21 15-42 16-23 
1-60 2-76 3-66 4-59 5-53 6-35 7-30 8-73 9-70 10-53 11-23 12-22 13-36 14-36 15-68 16-9 
1-37 2-53 3-80 4-85 5-57 6-52 7-7 8-30 9-47 10-48 11-60 12-49 13-54 14-51 15-21 16-54 
1-48 2-36 3-43 4-38 5-9 6-71 7-62 8-33 9-51 10-66 11-26 12-23 13-55 14-36 15-75 16-56 
1-31 2-89 3-48 4-39 5-59 6-90 7-47 8-56 9-57 10-38 11-28 12-60 13-38 14-65 15-67 16-38 
1-48 2-31 3-43 4-33 5-54 6-41 7-22 8-60 9-71 10-45 11-49 12-53 13-47 14-28 15-51 16-73 
1-28 2-40 3-55 4-32 5-64 6-37 7-47 8-66 9-65 10-23 11-68 12-30 13-44 14-38 15-35 16-37 
1-29 2-57 3-41 4-63 5-64 6-60 7-31 8-61 9-47 10-55 11-63 12-47 13-39 14-30 15-80 16-36 
1-47 2-60 3-34 4-58 5-31 6-44 7-41 8-33 9-23 10-61 11-46 12-73 13-64 14-40 15-54 16-65 
1-50 2-70 3-48 4-64 5-48 6-55 7-46 8-50 9-57 10-40 11-40 12-32 13-50 14-28 15-40 16-47 
1-40 2-48 3-54 4-60 5-61 6-51 7-61 8-49 9-37 10-70 11-34 12-44 13-66 14-36 15-57 16-58 
1-37 2-34 3-66 4-35 5-43 6-43 7-34 8-67 9-18 10-74 11-47 12-11 13-78 14-47 15-47 16-40 
1-66 2-35 3-21 4-50 5-86 6-38 7-3 8-57 9-64 10-42 11-64 12-38 13-38 14-31 15-42 16-34 
1-53 2-48 3-49 4-33 5-38 6-36 7-38 8-51 9-48 10-27 11-15 12-74 13-59 14-73 15-33 16-32 
1-50 2-30 3-44 4-24 5-52 6-41 7-74 8-40 9-36 10-52 11-62 12-60 13-44 14-55 15-47 16-30 
1-32 2-53 3-84 4-57 5-46 6-75 7-67 8-51 9-47 10-74 11-65 12-35 13-30 14-43 15-61 16-20 
1-56 2-59 3-69 4-66 5-36 6-59 7-54 8-54 9-43 10-43 11-50 12-33 13-33 14-34 15-65 16-36 
1-56 2-53 3-69 4-51 5-34 6-27 7-29 8-82 9-62 10-73 11-50 12-16 13-41 14-34 15-59 16-43 
1-33 2-45 3-32 4-49 5-24 6-35 7-38 8-60 9-53 10-53 11-42 12-48 13-65 14-51 15-65 16-26 
1-63 2-77 3-55 4-52 5-69 6-43 7-76 8-53 9-58 10-50 11-68 12-56 13-68 14-26 15-64 16-60 
1-37 2-56 3-67 4-34 5-66 6-23 7-40 8-52 9-34 10-57 11-52 12-60 13-90 14-37 15-84 16-55 
1-31 2-23 3-23 4-65 5-53 6-14 7-51 8-48 9-63 10-69 11-63 12-37 13-22 14-32 15-60 16-54 
1-37 2-52 3-43 4-60 5-76 6-85 7-48 8-61 9-40 10-54 11-62 12-54 13-75 14-47 15-38 16-57 
1-42 2-41 3-84 4-55 5-27 6-27 7-18 8-65 9-69 10-21 11-44 12-64 13-42 14-49 15-42 16-48 
1-74 2-35 3-71 4-31 5-44 6-73 7-93 8-55 9-40 10-49 11-29 12-45 13-55 14-55 15-59 16-58 
1-54 2-39 3-61 4-53 5-49 6-59 7-38 8-46 9-48 10-70 11-47 12-57 13-19 14-58 15-43 16-33 
1-38 2-52 3-45 4-51 5-41 6-76 7-48 8-29 9-47 10-35 11-84 12-35 13-53 14-45 15-63 16-29 
1-30 2-70 3-69 4-48 5-37 6-20 7-50 8-56 9-65 10-36 11-42 12-39 13-40 14-66 15-22 16-48 
1-72 2-48 3-53 4-45 5-49 6-18 7-58 8-46 9-69 10-47 11-66 12-55 13-59 14-55 15-69 16-57 
1-54 2-71 3-20 4-62 5-65 6-51 7-54 8-55 9-42 10-67 11-41 12-40 13-35 14-53 15-69 16-31 
1-55 2-43 3-58 4-34 5-30 6-81 7-59 8-66 9-37 10-53 11-44 12-12 13-68 14-30 15-42 16-55 
1-50 2-49 3-34 4-50 5-44 6-63 7-40 8-63 9-48 10-58 11-51 12-79 13-51 14-48 15-48 16-48 
1-25 2-50 3-50 4-20 5-44 6-45 7-49 8-87 9-67 10-23 11-61 12-55 13-55 14-57 15-71 16-51 
1-45 2-59 3-33 4-39 5-49 6-61 7-57 8-74 9-19 10-87 11-30 12-54 13-48 14-84 15-36 16-72 
1-42 2-45 3-56 4-59 5-59 6-53 7-81 8-50 9-55 10-21 11-91 12-30 13-50 14-23 15-68 16-40 
1-69 2-64 3-77 4-46 5-56 6-31 7-35 8-61 9-9 10-15 11-47 12-52 13-61 14-51 15-71 16-13 
1-42 2-56 3-56 4-24 5-43 6-87 7-49 8-72 9-12 10-81 11-61 12-58 13-51 14-27 15-60 16-60 
1-58 2-22 3-72 4-10 5-87 6-10 7-81 8-47 9-67 10-42 11-41 12-39 13-27 14-51 15-36 16-37 
1-29 2-68 3-53 4-58 5-45 6-41 7-25 8-32 9-39 10-47 11-55 12-38 13-42 14-61 15-20 16-42 
1-47 2-47 3-38 4-63 5-81 6-34 7-45 8-22 9-37 10-63 11-50 12-55 13-54 14-36 15-43 16-57 
1-81 2-49 3-72 4-65 5-63 6-74 7-42 8-44 9-65 10-56 11-33 12-51 13-55 14-76 15-53 16-29 
1-51 2-51 3-50 4-69 5-30 6-28 7-38 8-73 9-45 10-57 11-58 12-48 13-56 14-76 15-61 16-75 
1-38 2-33 3-45 4-32 5-33 6-85 7-70 8-28 9-56 10-64 11-33 12-51 13-33 14-30 15-47 16-49 
1-52 2-50 3-44 4-40 5-58 6-59 7-39 8-57 9-58 10-43 11-51 12-78 13-75 14-43 15-45 16-52 
1-40 2-58 3-46 4-70 5-45 6-36 7-38 8-31 9-52 10-61 11-35 12-63 13-65 14-26 15-35 16-62 
1-19 2-54 3-50 4-34 5-49 6-67 7-45 8-44 9-35 10-92 11-32 12-82 13-67 14-21 15-63 16-46 
1-52 2-50 3-47 4-52 5-79 6-30 7-48 8-49 9-35 10-54 11-41 12-60 13-59 14-53 15-71 16-56 
1-51 2-66 3-43 4-39 5-41 6-33 7-47 8-63 9-73 10-23 11-61 12-60 13-67 14-50 15-48 16-24 
1-41 2-65 3-73 4-57 5-33 6-54 7-47 8-22 9-58 10-44 11-38 12-68 13-62 14-30 15-63 16-63 
1-54 2-46 3-74 4-48 5-72 6-5 7-53 8-31 9-54 10-44 11-49 12-61 13-55 14-54 15-72 16-52 
