2-48 6-35 11-40 13-51 24-39 28-44 34-34 36-31 38-29 40-47 52-69 54-57 59-31 63-43 67-45 76-73 85-56 86-54 90-29 93-43 98-39 111-60 113-58
2-50 3-39 9-42 14-69 23-43 26-28 34-46 37-36 38-66 41-50 53-60 56-26 59-49 63-39 67-43 76-32 85-50 86-49 90-50 93-52 99-67 110-22 116-32
2-54 4-67 9-65 14-41 23-37 27-55 34-42 36-47 39-55 42-72 52-35 55-76 59-39 63-71 67-56 76-82 85-45 86-38 90-49 93-45 99-62 108-56 115-36
1-43 3-24 10-38 15-43 23-18 25-41 34-67 36-60 38-45 40-49 52-59 54-36 59-66 63-59 67-41 76-70 85-51 86-39 90-42 93-57 99-62 107-59 113-68
2-32 3-12 10-37 14-66 23-58 27-58 34-27 36-60 39-77 41-60 52-36 55-43 59-31 63-40 67-76 76-47 85-69 86-47 90-69 93-45 99-72 108-60 115-48
2-9 3-35 10-56 13-48 23-49 27-74 34-33 36-40 39-49 43-58 52-52 57-40 59-54 65-58 67-83 76-47 85-63 86-46 90-67 93-80 99-53 111-57 117-72
2-80 4-20 10-34 14-66 23-53 27-57 34-3 36-59 39-42 41-73 52-68 55-54 59-63 63-37 67-51 76-36 85-30 86-52 90-37 93-47 99-19 107-49 115-31
2-47 3-55 11-64 14-44 23-42 27-54 34-51 37-63 38-38 44-59 53-62 56-55 59-55 63-38 67-41 76-63 85-10 86-68 90-44 93-20 99-84 110-65 116-68
2-16 5-49 11-59 16-25 24-77 28-42 34-35 36-41 38-52 40-48 52-45 54-54 59-73 63-49 67-64 76-66 85-56 86-51 90-42 93-57 98-76 110-69 113-60
1-53 3-50 10-51 13-65 23-51 25-33 34-47 36-48 38-43 44-61 52-49 54-49 59-65 63-37 67-50 76-46 85-30 86-70 90-40 93-45 99-73 107-41 113-35
2-44 3-43 11-47 14-74 23-19 26-46 34-39 37-79 38-59 43-23 53-34 56-42 59-63 63-30 67-67 76-68 85-44 86-28 90-27 93-53 99-30 110-40 116-33
2-54 4-32 9-74 14-69 23-29 27-32 34-48 36-51 39-35 40-53 52-70 55-50 59-56 63-58 67-12 76-43 85-58 86-56 90-21 93-48 98-34 107-28 115-53
2-33 4-23 10-33 14-42 23-47 26-21 34-41 36-64 39-31 41-59 52-94 55-52 59-40 63-39 67-46 76-47 85-46 86-72 90-57 93-43 99-39 107-38 114-28
2-39 3-46 10-63 14-40 23-70 27-34 34-16 36-31 39-41 41-48 52-43 57-54 59-39 65-54 67-42 76-72 85-70 86-49 90-15 93-41 98-0 111-19 117-65
2-33 3-56 11-63 13-52 24-35 28-38 34-37 36-52 38-42 42-37 52-44 54-42 59-12 63-54 67-35 76-49 85-44 86-65 90-51 93-70 98-27 111-21 113-41
1-44 3-34 10-57 15-55 23-41 25-37 34-3 36-58 38-52 43-38 52-21 54-53 59-26 63-57 67-49 76-29 85-58 86-59 90-37 93-37 99-70 110-62 114-76
2-58 3-59 9-32 14-65 23-44 26-69 34-47 36-58 39-55 44-29 52-42 55-44 59-58 63-50 67-32 76-36 85-22 86-21 90-26 93-25 98-64 108-37 115-72
2-58 3-27 10-39 15-41 23-75 26-35 34-56 36-82 39-42 41-50 52-49 55-47 59-69 63-40 67-42 76-51 85-52 86-67 90-21 93-16 99-45 108-45 114-49
2-67 3-61 10-48 14-73 23-32 27-42 34-46 36-60 39-62 40-54 52-51 55-70 59-48 63-39 67-48 76-65 85-34 86-51 90-56 93-61 98-53 107-42 115-57
2-63 3-51 9-52 15-44 23-42 27-34 34-65 36-31 39-58 44-62 52-55 55-84 59-55 63-71 67-60 76-29 85-83 86-48 90-70 93-65 99-20 108-62 115-70
2-35 3-35 10-51 14-27 23-31 27-63 34-50 36-41 39-55 41-46 52-46 57-43 59-29 65-36 67-33 76-76 85-69 86-38 90-53 93-36 99-55 107-44 117-8
2-39 6-62 10-28 14-59 23-72 27-81 34-72 36-4 39-49 44-68 52-67 57-33 59-56 65-14 67-43 76-63 85-52 86-56 90-57 93-50 98-35 107-53 117-54
2-62 3-47 10-58 13-73 23-38 26-53 34-41 36-69 39-43 44-60 52-49 57-21 59-47 65-38 67-45 76-79 85-53 86-52 90-48 93-33 98-51 107-55 114-27
2-42 3-62 9-71 15-61 23-47 27-32 34-33 36-12 39-64 40-33 52-46 55-34 59-48 63-40 67-76 76-64 85-35 86-22 90-68 93-61 98-46 107-68 114-60
2-47 4-27 9-68 15-23 23-41 27-56 34-38 36-30 39-50 40-28 52-70 55-55 59-67 63-34 67-37 76-23 85-43 86-78 90-26 93-27 99-61 108-44 115-58
1-29 3-38 10-33 13-40 23-61 25-32 34-60 36-66 38-54 40-47 52-68 54-33 59-36 63-33 67-47 76-29 85-61 86-45 90-59 93-24 99-53 110-57 113-30
1-61 3-62 9-62 15-16 23-18 25-59 34-65 36-47 38-54 40-55 52-63 54-55 59-88 63-37 67-56 76-55 85-66 86-53 90-49 93-15 98-65 110-19 113-42
2-50 4-42 10-53 14-24 23-54 26-31 34-22 36-42 39-56 44-5 52-63 55-42 59-45 63-57 67-48 76-75 85-34 86-63 90-38 93-21 98-51 107-65 115-41
2-33 6-68 11-51 16-36 24-43 28-56 34-81 37-57 39-38 41-42 53-45 54-46 59-41 63-45 67-38 76-75 85-46 86-43 90-46 94-61 99-36 109-50 114-74
2-43 4-52 9-60 15-66 23-21 26-5 34-71 36-48 39-67 44-21 52-76 55-44 59-17 63-47 67-51 76-55 85-3 86-39 90-68 93-59 99-77 108-36 114-44
2-65 3-44 9-57 14-59 23-42 27-49 34-52 36-50 39-34 40-47 52-74 55-72 59-63 63-46 67-40 76-71 85-40 86-13 90-44 93-28 98-71 108-50 114-54
2-43 3-46 10-39 13-67 23-49 26-62 34-58 36-4 39-63 43-47 52-42 57-49 59-58 65-32 67-48 76-61 85-61 86-74 90-19 93-29 98-50 111-46 117-72
2-20 5-81 11-42 16-49 24-57 28-46 34-34 36-61 38-49 40-36 52-67 54-38 59-54 63-55 67-52 76-46 85-86 86-16 90-36 93-73 99-37 110-8 113-48
2-57 4-23 10-49 14-80 23-57 26-59 34-54 36-42 39-57 40-49 52-44 55-38 59-37 63-58 67-68 76-49 85-61 86-39 90-77 93-11 99-73 107-42 115-22
2-41 4-48 9-56 14-42 23-60 27-36 34-65 36-39 39-51 42-37 52-53 55-32 59-57 63-48 67-30 76-37 85-42 86-44 90-35 93-63 99-51 107-75 115-52
2-43 4-32 10-29 14-25 23-45 27-48 34-57 36-40 39-52 42-49 52-57 55-58 59-62 63-32 67-47 76-27 85-50 86-65 90-55 93-47 99-51 108-37 115-32
2-53 4-30 10-30 15-51 23-65 27-22 34-71 36-11 39-45 41-46 52-54 55-49 59-34 63-49 67-18 76-63 85-48 86-75 90-41 93-68 99-53 107-61 114-33
2-26 6-61 9-34 13-66 24-40 28-55 34-44 37-57 39-66 40-75 53-43 54-44 59-66 63-40 67-56 76-52 85-70 86-42 90-26 94-58 98-44 109-58 114-40
2-52 3-64 9-102 15-21 23-29 27-57 34-32 36-51 39-34 41-57 52-46 55-48 59-63 63-77 67-75 76-58 85-52 86-43 90-21 93-48 98-78 107-55 114-89
2-53 6-42 10-35 14-53 23-77 26-41 34-39 36-33 39-35 44-59 52-42 57-55 59-43 65-56 67-89 76-27 85-25 86-42 90-43 93-16 99-48 107-33 114-56
2-29 3-30 10-6 14-29 23-62 26-29 34-49 36-37 39-59 44-46 52-59 55-60 59-57 63-9 67-49 76-53 85-53 86-42 90-35 93-58 98-49 108-30 114-23
2-51 3-36 11-17 16-45 24-23 28-34 34-72 36-47 38-50 43-60 52-79 54-50 59-63 63-58 67-46 76-49 85-38 86-68 90-50 93-66 99-49 110-37 113-94
2-71 6-32 11-58 14-46 23-53 27-64 34-41 37-32 38-67 43-44 53-60 56-73 59-63 63-56 67-51 76-47 85-42 86-34 90-31 93-60 99-49 110-32 116-13
2-59 4-48 10-48 15-45 23-31 27-53 34-66 36-43 39-59 42-38 52-51 55-32 59-19 63-29 67-39 76-37 85-54 86-49 90-86 93-73 99-40 107-35 115-24
2-71 6-27 11-44 14-58 23-56 27-42 34-25 37-27 38-51 44-59 53-44 56-16 59-33 63-14 67-39 76-57 85-45 86-97 90-41 93-37 99-40 110-36 116-66
2-49 3-39 10-37 13-69 23-41 26-45 34-22 36-68 39-43 43-56 52-67 57-48 59-87 65-38 67-71 76-47 85-46 86-53 90-17 93-45 98-54 107-45 117-71
2-37 4-50 9-39 14-55 23-44 26-59 34-64 36-21 39-38 40-58 52-77 55-58 59-51 63-64 67-64 76-44 85-65 86-25 90-54 93-61 98-49 107-66 114-43
2-19 6-44 9-37 14-66 23-61 27-78 34-53 37-46 38-74 43-59 53-79 56-64 59-76 63-45 67-16 76-64 85-58 86-56 90-47 93-43 99-49 110-41 116-50
2-60 3-78 9-65 15-54 23-31 27-24 34-50 37-44 38-58 41-50 53-47 56-55 59-61 63-56 67-50 76-62 85-46 86-50 90-57 93-46 100-56 110-42 116-48
2-45 6-32 10-58 13-46 23-39 27-74 34-53 36-43 39-83 43-36 52-60 57-55 59-56 65-81 67-43 76-66 85-55 86-69 90-60 93-36 99-44 111-44 117-72
1-66 3-33 10-55 13-40 23-52 25-36 34-50 36-91 38-61 44-20 52-57 54-10 59-64 63-46 67-76 76-51 85-19 86-72 90-53 93-33 99-46 110-76 113-21
2-42 6-87 10-68 13-47 23-21 26-60 34-37 36-68 39-58 41-64 52-48 57-48 59-55 65-41 67-37 76-44 85-63 86-21 90-48 93-13 99-80 111-47 114-47
2-57 3-72 9-44 13-24 24-53 28-18 34-48 37-67 39-70 40-28 53-24 54-36 60-40 63-43 67-35 76-44 85-56 86-35 90-56 94-49 99-68 107-35 114-21
1-77 3-53 10-67 15-75 23-51 25-66 34-59 36-20 38-49 44-63 52-53 54-54 59-60 63-47 67-41 76-59 85-29 86-41 90-38 93-50 98-40 107-66 114-64
2-59 6-51 11-48 16-37 24-45 28-44 34-82 36-92 38-37 41-60 52-65 54-12 59-74 63-37 67-48 76-54 85-62 86-47 90-48 93-44 99-23 111-69 113-38
2-55 3-69 11-26 16-47 24-59 28-32 34-31 37-37 39-47 41-13 53-60 54-47 59-56 63-57 67-36 76-25 85-44 86-55 90-65 94-40 99-42 107-68 114-53
2-58 3-32 10-54 14-23 23-44 27-60 34-43 36-40 39-44 44-51 52-45 57-41 59-26 65-40 67-57 76-27 85-60 86-49 90-46 93-45 98-35 107-37 114-40
2-66 3-94 9-48 13-37 24-34 28-27 34-25 37-55 39-67 40-39 53-50 54-50 59-24 63-47 67-68 76-35 85-61 86-74 90-47 94-63 98-66 107-59 114-53
2-65 4-60 9-61 15-59 23-36 26-32 34-55 36-29 39-45 44-52 52-30 55-40 59-56 63-47 67-52 76-61 85-44 86-61 90-27 93-58 98-77 107-28 114-75
2-58 3-46 9-46 15-45 23-47 27-56 34-87 36-75 39-40 41-48 52-46 55-22 59-34 63-54 67-77 76-65 85-43 86-53 90-63 93-43 99-47 107-37 114-38
2-67 6-29 10-51 13-29 23-43 27-81 34-48 36-66 39-44 44-60 52-26 57-47 59-55 65-49 67-69 76-86 85-41 86-37 90-44 93-32 98-18 111-50 114-28
2-37 5-43 11-58 13-78 24-53 28-34 34-37 36-65 38-33 41-49 52-51 54-55 59-48 63-74 67-44 76-35 85-54 86-34 90-63 93-50 99-47 110-75 113-8
2-73 3-62 11-27 13-18 24-20 28-67 34-50 36-54 38-82 41-38 52-46 54-75 59-57 63-36 67-76 76-40 85-50 86-57 90-60 93-71 99-33 111-38 113-44
2-48 4-48 9-23 15-23 23-47 27-10 34-43 36-61 39-26 40-53 52-18 55-79 59-46 63-63 67-43 76-53 85-53 86-74 90-59 93-50 98-48 107-21 114-53
2-36 3-53 10-13 14-50 23-46 26-74 34-29 36-30 39-31 42-46 52-44 55-80 59-39 63-43 67-24 76-3 85-31 86-49 90-47 93-25 98-46 107-62 114-25
2-46 3-22 10-65 14-53 23-37 27-40 34-59 36-36 39-45 42-55 52-41 55-62 59-47 63-66 67-42 76-50 85-59 86-38 90-36 93-34 98-8 108-75 115-36
2-45 3-50 9-33 13-53 24-51 28-39 34-66 37-36 39-62 41-40 53-61 54-44 59-49 63-53 67-29 76-60 85-75 86-82 90-64 94-31 99-60 109-18 114-42
2-38 3-22 9-48 15-12 23-29 26-27 34-40 36-38 39-46 42-47 52-58 55-52 59-45 63-28 67-49 76-51 85-36 86-38 90-57 93-81 99-53 107-62 114-62
2-37 6-76 10-57 13-56 23-49 27-32 34-23 36-72 39-42 43-35 52-35 57-32 59-68 65-44 67-33 76-58 85-44 86-59 90-47 93-63 99-52 107-70 114-36
2-70 3-62 9-37 14-40 23-61 26-40 34-45 36-60 39-31 41-45 52-41 55-50 59-62 63-41 67-74 76-63 85-58 86-39 90-23 93-61 98-42 108-56 114-61
2-63 4-27 9-32 15-46 23-49 26-29 34-36 36-26 39-48 42-34 52-36 55-43 59-69 63-25 67-15 76-51 85-27 86-55 90-41 93-40 99-82 107-28 114-47
2-45 3-54 10-60 15-33 23-64 26-45 34-37 36-84 39-79 42-60 52-40 55-32 59-63 63-73 67-55 76-54 85-49 86-39 90-77 93-46 98-64 107-52 114-52
2-60 3-62 11-53 13-51 24-50 28-51 34-57 37-41 39-46 43-88 53-43 54-14 60-39 63-38 67-45 76-51 85-56 86-46 90-71 94-44 98-58 107-29 114-43
2-61 4-46 9-43 14-30 23-57 27-57 34-18 36-18 39-50 41-50 52-32 55-14 59-58 63-45 67-23 76-41 85-38 86-31 90-50 93-28 98-43 108-71 114-41
2-61 6-26 10-25 14-55 23-23 27-55 34-58 36-54 39-61 44-51 52-49 57-62 59-39 65-56 67-79 76-23 85-33 86-27 90-31 93-35 99-40 107-41 114-55
2-57 3-44 10-13 14-37 23-56 26-38 34-46 36-46 39-50 41-49 52-38 57-77 59-59 65-42 67-48 76-72 85-78 86-56 90-59 93-35 98-29 111-43 117-49
2-37 4-45 10-63 15-76 23-36 27-56 34-60 36-4 39-51 42-53 52-34 55-66 59-58 63-50 67-66 76-55 85-44 86-66 90-55 93-76 99-34 108-48 114-80
2-39 3-67 10-51 14-68 23-47 26-48 34-84 36-56 39-47 41-51 52-45 55-31 59-53 63-32 67-66 76-63 85-45 86-83 90-53 93-49 98-32 108-35 115-80
2-50 3-20 10-84 14-55 23-27 26-29 34-65 36-36 39-64 44-27 52-74 57-80 59-51 65-47 67-68 76-48 85-65 86-40 90-13 93-53 99-53 111-58 114-46
2-51 4-35 10-58 15-77 23-42 27-57 34-41 36-19 39-38 41-50 52-44 55-52 59-35 63-62 67-40 76-83 85-51 86-41 90-59 93-58 98-22 107-31 115-9
2-64 4-37 10-57 15-26 23-8 26-42 34-49 36-47 39-52 42-54 52-49 55-46 59-55 63-34 67-51 76-36 85-47 86-46 90-64 93-48 99-56 107-57 115-37
2-71 3-70 9-47 14-80 23-61 26-50 34-67 36-37 39-60 40-47 52-38 55-43 59-40 63-49 67-77 76-37 85-64 86-61 90-60 93-24 98-34 108-54 115-19
2-52 3-47 9-45 14-49 23-48 27-33 34-53 36-34 39-11 44-52 52-32 55-43 59-22 63-47 67-51 76-67 85-37 86-55 90-43 93-33 98-73 108-57 114-53
2-36 5-58 11-55 16-20 24-52 28-31 34-41 36-30 38-67 42-49 52-68 54-71 59-69 63-60 67-38 76-47 85-38 86-31 90-82 93-82 98-59 111-43 113-79
2-21 3-80 11-49 15-83 23-64 26-31 34-31 37-72 38-26 44-48 53-30 56-42 59-64 63-45 67-40 76-55 85-43 86-32 90-78 93-82 100-52 110-10 116-50
2-34 3-32 9-44 14-68 23-25 26-37 34-44 36-19 39-77 41-58 52-57 55-38 59-20 63-52 67-61 76-62 85-46 86-22 90-29 93-60 98-52 108-25 115-38
1-31 3-35 10-57 15-42 23-64 25-59 34-27 36-62 38-67 41-59 52-65 54-52 59-17 63-55 67-46 76-56 85-38 86-38 90-41 93-54 99-56 110-38 113-62
2-4 3-53 10-65 14-41 23-29 27-47 34-83 36-39 39-21 43-39 52-39 57-14 59-42 65-49 67-44 76-47 85-48 86-66 90-35 93-54 99-52 107-54 114-71
2-47 5-42 11-74 16-29 24-59 28-38 34-38 36-46 38-50 43-57 52-62 54-66 59-39 63-44 67-65 76-23 85-50 86-38 90-65 93-42 99-41 111-74 113-58
2-28 3-59 10-70 14-47 23-47 27-73 34-70 36-42 39-55 44-64 52-33 57-29 59-29 65-48 67-49 76-73 85-82 86-30 90-56 93-34 98-49 111-47 114-45
2-57 3-36 9-29 14-49 23-52 27-52 34-46 37-45 38-62 43-43 53-56 56-41 59-49 63-66 67-92 76-57 85-67 86-48 90-30 93-59 100-54 110-52 116-24
2-69 5-35 11-39 13-67 24-39 28-34 34-75 36-41 38-20 40-24 52-80 54-40 59-65 63-75 67-41 76-44 85-41 86-64 90-63 93-56 99-56 111-48 113-31
1-15 3-26 9-53 15-67 23-52 25-56 34-20 36-79 38-69 40-49 52-48 54-78 59-74 63-30 67-27 76-65 85-50 86-60 90-58 93-40 98-64 110-32 114-49
2-50 3-63 10-48 15-48 23-56 26-41 34-17 36-59 39-34 42-46 52-36 55-50 59-48 63-52 67-48 76-39 85-61 86-32 90-68 93-53 99-58 108-69 115-30
1-47 6-47 10-32 13-31 23-19 25-45 34-64 36-41 38-45 43-58 52-50 54-59 59-53 63-33 67-53 76-66 85-55 86-48 90-34 93-47 98-24 110-65 114-79
2-14 6-31 9-38 16-41 24-15 28-46 34-63 37-44 39-62 40-48 53-70 54-31 59-50 63-21 67-50 76-37 85-53 86-55 90-68 94-50 99-65 109-53 114-59
2-61 3-26 9-38 14-61 23-61 27-54 34-39 36-45 39-55 42-53 52-36 55-21 59-46 63-64 67-58 76-63 85-85 86-44 90-42 93-48 99-46 107-47 115-40
2-68 3-41 9-44 15-34 24-59 28-38 34-66 37-47 39-82 41-50 53-40 54-47 59-39 64-46 67-66 76-48 85-71 86-40 90-42 94-66 98-48 107-51 114-64
2-65 4-58 9-42 14-44 23-49 26-62 34-44 36-59 39-59 44-60 52-34 55-38 59-51 63-60 67-60 76-76 85-43 86-74 90-41 93-24 99-62 108-34 114-34
2-48 6-44 11-50 16-81 24-53 28-43 34-59 37-59 39-32 45-56 53-37 54-39 59-33 63-52 67-41 76-44 85-65 86-34 90-65 94-60 99-58 109-47 114-49
2-30 3-66 9-62 15-45 23-37 27-28 34-18 36-43 39-51 41-60 52-25 55-58 59-55 63-24 67-65 76-67 85-53 86-45 90-52 93-58 98-37 108-64 114-61
2-30 4-18 9-50 15-29 23-44 27-11 34-42 36-58 39-52 41-48 52-24 55-63 59-61 63-43 67-55 76-44 85-40 86-41 90-35 93-33 99-47 107-55 115-69
2-41 4-74 9-59 15-70 23-53 27-37 34-39 36-49 39-57 44-56 52-71 55-29 59-54 63-75 67-25 76-36 85-42 86-55 90-42 93-69 99-47 107-35 114-48
2-14 4-77 10-37 15-16 23-28 27-67 34-58 36-34 39-45 44-48 52-55 55-23 59-47 63-58 67-37 76-55 85-36 86-52 90-52 93-57 99-15 107-20 115-64
2-40 6-61 9-40 15-51 23-24 27-65 34-58 37-40 38-29 44-68 53-56 56-30 59-42 63-54 67-62 76-38 85-66 86-44 90-42 93-53 100-50 110-56 116-29
2-63 3-64 10-36 14-14 23-89 27-55 34-50 36-72 39-37 42-35 52-78 55-25 59-62 63-34 67-41 76-40 85-55 86-19 90-51 93-40 98-65 107-39 115-36
2-52 6-23 9-48 15-29 23-81 26-78 34-81 37-57 38-28 43-51 53-52 56-61 59-43 63-65 67-28 76-23 85-56 86-68 90-53 93-49 99-31 110-55 116-66
1-63 3-49 10-58 15-61 23-50 25-47 34-54 36-33 38-41 44-50 52-44 54-59 59-53 63-45 67-17 76-39 85-61 86-15 90-46 93-42 99-31 110-75 113-49
2-29 6-61 11-50 15-57 23-46 27-57 34-41 37-49 38-28 44-50 53-66 56-62 59-34 63-67 67-73 76-60 85-2 86-68 90-81 93-55 99-45 110-54 116-74
2-72 3-37 10-51 14-42 23-51 26-40 34-35 36-36 39-14 41-87 52-25 55-42 59-56 63-34 67-62 76-22 85-75 86-59 90-39 93-36 99-65 107-50 114-52
1-39 3-25 9-42 13-56 23-75 25-71 34-51 36-58 38-42 43-48 52-61 54-42 59-50 63-35 67-77 76-39 85-27 86-46 90-62 93-25 99-50 110-45 114-37
2-25 4-49 9-54 14-48 23-34 27-56 34-35 36-26 39-40 44-68 52-43 55-42 59-53 63-57 67-51 76-29 85-34 86-42 90-52 93-53 99-44 108-42 114-55
2-37 3-71 10-71 13-57 23-32 26-61 34-40 36-49 39-48 44-63 52-67 57-60 59-33 65-39 67-75 76-35 85-40 86-47 90-38 93-38 98-18 111-49 117-48
2-54 4-18 10-40 14-36 23-35 27-35 34-63 36-42 39-35 42-47 52-41 55-35 59-68 63-65 67-46 76-57 85-50 86-41 90-53 93-47 98-69 108-49 115-60
2-43 5-58 11-48 13-57 24-67 28-60 34-43 36-47 38-44 40-57 52-27 54-77 59-47 63-87 67-94 76-40 85-33 86-48 90-71 93-12 99-60 110-26 113-41
2-20 6-49 10-66 13-57 23-33 26-60 34-20 36-47 39-32 44-45 52-32 57-42 59-66 65-61 67-64 76-45 85-53 86-53 90-37 93-69 98-63 111-32 117-25
2-45 3-57 10-22 14-34 23-45 26-66 34-56 36-30 39-11 40-70 52-37 55-36 59-70 63-41 67-60 76-44 85-29 86-71 90-58 93-28 98-48 108-39 114-50
2-27 3-75 11-40 16-94 24-37 28-27 34-51 37-36 39-11 40-75 53-38 54-64 60-46 64-56 67-49 76-55 85-31 86-29 90-52 94-35 98-63 107-33 114-55
2-78 6-29 11-52 15-17 24-73 28-61 34-56 37-55 39-56 40-56 53-23 54-47 59-33 64-45 67-38 76-54 85-48 86-26 90-69 94-57 99-38 109-64 114-35
2-53 3-43 10-30 14-15 23-44 27-37 34-57 36-58 39-62 44-71 52-39 55-45 59-25 63-43 67-40 76-38 85-61 86-51 90-48 93-41 99-39 108-13 115-46
2-53 4-49 9-37 14-59 23-68 27-19 34-45 36-20 39-56 40-46 52-54 55-42 59-59 63-78 67-57 76-65 85-28 86-41 90-42 93-63 98-58 108-46 114-39
2-45 4-52 10-29 15-49 23-61 26-28 34-47 36-64 39-52 42-63 52-57 55-33 59-22 63-59 67-36 76-58 85-33 86-43 90-65 93-76 98-55 108-29 115-47
2-43 3-44 10-46 15-8 23-57 26-50 34-68 36-71 39-57 44-45 52-44 55-34 59-53 63-43 67-38 76-61 85-39 86-59 90-53 93-16 99-43 107-64 114-2
2-41 3-61 9-27 13-107 24-43 28-40 34-61 37-47 39-56 43-55 53-56 54-39 60-32 63-24 67-35 76-49 85-40 86-21 90-55 94-30 99-46 109-56 114-65
