1-32 2-65 3-40 4-83 
1-36 2-62 3-24 4-25 
1-53 2-76 3-61 4-50 
1-74 2-38 3-48 4-46 
1-73 2-46 3-63 4-65 
1-32 2-39 3-67 4-53 
1-35 2-38 3-40 4-69 
1-52 2-35 3-61 4-36 
1-60 2-73 3-65 4-59 
1-34 2-64 3-35 4-63 
1-41 2-77 3-37 4-58 
1-44 2-42 3-53 4-59 
1-64 2-44 3-26 4-61 
1-53 2-33 3-69 4-57 
1-42 2-46 3-46 4-27 
1-64 2-69 3-40 4-50 
1-56 2-54 3-66 4-36 
1-51 2-59 3-20 4-65 
1-51 2-46 3-64 4-41 
1-55 2-46 3-58 4-35 
1-36 2-56 3-24 4-65 
1-35 2-83 3-71 4-73 
1-61 2-68 3-53 4-43 
1-46 2-42 3-45 4-42 
1-69 2-33 3-62 4-46 
1-41 2-72 3-20 4-32 
1-44 2-53 3-41 4-41 
1-49 2-44 3-58 4-69 
1-60 2-40 3-44 4-0 
1-55 2-52 3-51 4-62 
1-33 2-46 3-45 4-36 
1-46 2-40 3-38 4-35 
1-68 2-51 3-49 4-62 
1-50 2-67 3-30 4-48 
1-49 2-36 3-43 4-29 
1-59 2-46 3-47 4-64 
1-30 2-51 3-75 4-75 
1-24 2-50 3-48 4-36 
1-16 2-42 3-49 4-48 
1-21 2-76 3-72 4-60 
1-28 2-17 3-42 4-44 
1-12 2-25 3-53 4-45 
1-51 2-66 3-15 4-56 
1-84 2-33 3-57 4-59 
1-73 2-27 3-68 4-50 
1-58 2-40 3-59 4-26 
1-29 2-75 3-61 4-79 
1-58 2-62 3-71 4-81 
1-70 2-86 3-56 4-26 
1-55 2-62 3-47 4-52 
1-53 2-37 3-52 4-26 
1-59 2-71 3-38 4-26 
1-61 2-35 3-59 4-69 
1-64 2-44 3-57 4-51 
1-58 2-43 3-36 4-20 
1-56 2-66 3-55 4-67 
1-33 2-43 3-61 4-68 
1-37 2-54 3-64 4-71 
1-50 2-48 3-37 4-38 
1-53 2-34 3-43 4-50 
1-45 2-65 3-30 4-49 
1-55 2-46 3-29 4-47 
1-54 2-27 3-84 4-73 
1-56 2-63 3-42 4-73 
1-54 2-41 3-38 4-60 
1-81 2-64 3-23 4-51 
1-63 2-43 3-54 4-28 
1-36 2-51 3-55 4-56 
1-34 2-62 3-38 4-72 
1-62 2-70 3-64 4-28 
1-85 2-40 3-49 4-63 
1-56 2-34 3-37 4-31 
1-66 2-67 3-47 4-14 
1-82 2-58 3-11 4-39 
1-53 2-28 3-40 4-35 
1-35 2-67 3-30 4-51 
1-69 2-43 3-55 4-46 
1-47 2-84 3-66 4-25 
1-28 2-27 3-86 4-45 
1-39 2-34 3-50 4-53 
1-25 2-21 3-56 4-48 
1-39 2-75 3-59 4-58 
1-55 2-55 3-31 4-46 
1-50 2-44 3-38 4-49 
1-53 2-41 3-36 4-44 
1-42 2-57 3-57 4-41 
1-51 2-46 3-54 4-62 
1-63 2-54 3-38 4-40 
1-46 2-48 3-62 4-48 
1-43 2-49 3-30 4-60 
1-37 2-44 3-64 4-53 
1-65 2-32 3-59 4-58 
1-67 2-60 3-63 4-47 
1-40 2-55 3-43 4-24 
1-65 2-29 3-50 4-33 
1-29 2-26 3-55 4-49 
1-45 2-61 3-46 4-25 
1-79 2-85 3-64 4-56 
1-46 2-40 3-64 4-51 
1-60 2-50 3-45 4-58 
1-42 2-53 3-66 4-38 
1-60 2-67 3-47 4-44 
1-70 2-42 3-42 4-7 
1-56 2-12 3-65 4-37 
1-54 2-53 3-81 4-21 
1-21 2-25 3-30 4-35 
1-36 2-30 3-38 4-27 
1-66 2-66 3-43 4-63 
1-63 2-59 3-53 4-50 
1-33 2-15 3-60 4-68 
1-68 2-52 3-68 4-71 
1-46 2-50 3-42 4-73 
1-43 2-44 3-19 4-21 
1-50 2-41 3-52 4-79 
1-51 2-26 3-64 4-65 
1-64 2-43 3-35 4-59 
1-46 2-67 3-57 4-45 
1-64 2-62 3-34 4-66 
1-63 2-47 3-52 4-55 
1-36 2-33 3-46 4-57 
1-29 2-37 3-33 4-53 
1-58 2-59 3-61 4-61 
1-49 2-78 3-51 4-25 
1-31 2-58 3-26 4-17 
1-73 2-56 3-60 4-50 
1-29 2-52 3-63 4-70 
1-56 2-44 3-29 4-14 
1-40 2-44 3-36 4-59 
1-30 2-12 3-41 4-28 
1-52 2-42 3-41 4-29 
1-56 2-38 3-43 4-51 
1-60 2-15 3-60 4-44 
1-67 2-42 3-51 4-37 
1-45 2-77 3-88 4-43 
1-63 2-39 3-21 4-45 
1-43 2-44 3-68 4-31 
1-0 2-54 3-51 4-10 
1-55 2-66 3-20 4-41 
1-25 2-46 3-47 4-55 
1-48 2-37 3-59 4-46 
1-64 2-53 3-55 4-28 
1-61 2-59 3-32 4-58 
1-58 2-52 3-46 4-71 
1-45 2-40 3-53 4-30 
1-51 2-72 3-33 4-43 
1-37 2-70 3-60 4-44 
1-22 2-60 3-22 4-44 
1-50 2-46 3-31 4-52 
1-60 2-57 3-70 4-7 
1-45 2-61 3-16 4-58 
1-61 2-55 3-54 4-67 
1-56 2-37 3-38 4-49 
1-40 2-55 3-70 4-54 
1-45 2-39 3-13 4-37 
1-36 2-45 3-30 4-68 
1-30 2-41 3-17 4-50 
1-45 2-62 3-45 4-38 
1-63 2-54 3-49 4-55 
1-16 2-76 3-41 4-41 
1-52 2-28 3-59 4-61 
1-30 2-56 3-25 4-52 
1-87 2-70 3-39 4-76 
1-51 2-62 3-70 4-34 
1-70 2-30 3-25 4-36 
1-76 2-31 3-60 4-47 
1-56 2-52 3-58 4-7 
1-66 2-34 3-58 4-57 
1-37 2-44 3-64 4-22 
1-42 2-44 3-45 4-43 
1-63 2-63 3-67 4-57 
1-69 2-57 3-24 4-68 
1-29 2-55 3-43 4-44 
1-49 2-39 3-76 4-44 
1-52 2-44 3-43 4-64 
1-59 2-62 3-73 4-34 
1-53 2-47 3-43 4-40 
1-20 2-38 3-64 4-39 
1-71 2-62 3-65 4-33 
1-71 2-59 3-49 4-43 
1-44 2-47 3-43 4-35 
1-38 2-39 3-59 4-71 
1-39 2-51 3-49 4-25 
1-43 2-65 3-36 4-53 
1-39 2-68 3-58 4-25 
1-64 2-69 3-80 4-41 
1-35 2-21 3-50 4-92 
1-41 2-37 3-39 4-37 
1-67 2-62 3-43 4-56 
1-49 2-43 3-28 4-76 
1-61 2-63 3-76 4-43 
1-70 2-42 3-37 4-53 
1-51 2-62 3-57 4-59 
1-28 2-61 3-67 4-74 
1-33 2-26 3-35 4-52 
1-66 2-56 3-22 4-22 
1-53 2-48 3-38 4-50 
1-17 2-31 3-55 4-59 
1-50 2-21 3-33 4-17 
1-54 2-43 3-93 4-39 
1-51 2-47 3-49 4-51 
1-60 2-20 3-27 4-29 
1-39 2-52 3-46 4-46 
1-51 2-22 3-64 4-39 
1-65 2-37 3-57 4-29 
1-44 2-66 3-45 4-44 
1-47 2-58 3-62 4-65 
1-66 2-60 3-82 4-61 
1-25 2-66 3-43 4-36 
1-48 2-33 3-49 4-32 
1-51 2-73 3-13 4-19 
1-25 2-25 3-48 4-38 
1-68 2-29 3-64 4-43 
1-51 2-34 3-64 4-54 
1-57 2-53 3-50 4-75 
1-46 2-57 3-57 4-64 
1-46 2-27 3-15 4-53 
1-76 2-53 3-37 4-49 
1-54 2-26 3-80 4-67 
1-53 2-46 3-35 4-74 
1-16 2-51 3-50 4-42 
1-59 2-48 3-34 4-54 
1-42 2-59 3-55 4-69 
1-27 2-53 3-79 4-54 
1-68 2-83 3-54 4-44 
1-48 2-69 3-50 4-49 
1-52 2-68 3-16 4-21 
1-77 2-63 3-60 4-53 
1-53 2-85 3-27 4-65 
1-56 2-61 3-69 4-48 
1-48 2-38 3-36 4-53 
1-50 2-49 3-17 4-26 
1-36 2-26 3-54 4-31 
1-58 2-53 3-34 4-66 
1-62 2-52 3-15 4-80 
1-30 2-41 3-45 4-27 
1-61 2-39 3-61 4-33 
1-39 2-35 3-28 4-53 
1-64 2-59 3-57 4-61 
1-51 2-55 3-60 4-55 
1-43 2-76 3-52 4-42 
1-32 2-18 3-34 4-43 
1-46 2-66 3-55 4-39 
1-41 2-68 3-55 4-57 
1-54 2-75 3-53 4-65 
1-61 2-37 3-42 4-70 
1-20 2-43 3-48 4-46 
1-48 2-33 3-73 4-41 
1-33 2-38 3-54 4-65 
1-50 2-21 3-36 4-41 
1-30 2-39 3-37 4-52 
1-41 2-38 3-44 4-62 
1-54 2-33 3-68 4-43 
1-30 2-29 3-43 4-41 
1-72 2-55 3-28 4-66 
1-39 2-42 3-39 4-54 
1-64 2-41 3-27 4-61 
1-60 2-64 3-42 4-28 
1-69 2-15 3-55 4-31 
1-43 2-54 3-73 4-51 
1-55 2-58 3-52 4-64 
1-79 2-50 3-31 4-57 
1-55 2-67 3-53 4-78 
1-27 2-52 3-57 4-60 
1-52 2-32 3-47 4-27 
1-28 2-56 3-66 4-53 
1-36 2-37 3-48 4-50 
1-52 2-32 3-34 4-69 
1-57 2-41 3-53 4-58 
1-55 2-49 3-33 4-54 
1-52 2-46 3-26 4-62 
1-51 2-32 3-30 4-49 
1-74 2-43 3-60 4-50 
1-51 2-70 3-62 4-53 
1-49 2-57 3-55 4-53 
1-33 2-60 3-72 4-38 
1-53 2-21 3-20 4-32 
1-50 2-61 3-43 4-64 
1-72 2-36 3-35 4-32 
1-22 2-51 3-63 4-55 
1-44 2-44 3-55 4-9 
1-55 2-59 3-62 4-49 
1-82 2-38 3-39 4-14 
1-43 2-34 3-51 4-46 
1-48 2-68 3-56 4-64 
1-45 2-57 3-58 4-45 
1-49 2-62 3-51 4-77 
1-58 2-47 3-46 4-60 
1-44 2-12 3-60 4-38 
1-61 2-50 3-60 4-55 
1-34 2-51 3-34 4-51 
1-76 2-47 3-35 4-62 
1-26 2-46 3-60 4-17 
1-50 2-77 3-57 4-38 
1-39 2-27 3-66 4-18 
1-67 2-42 3-57 4-66 
1-60 2-36 3-31 4-41 
1-56 2-77 3-47 4-33 
1-47 2-35 3-74 4-31 
1-27 2-69 3-36 4-31 
1-24 2-37 3-15 4-46 
1-48 2-59 3-60 4-68 
1-56 2-25 3-50 4-69 
1-69 2-48 3-26 4-66 
1-16 2-47 3-59 4-55 
1-71 2-45 3-49 4-98 
1-82 2-48 3-78 4-33 
1-82 2-62 3-38 4-13 
1-66 2-34 3-44 4-28 
1-54 2-47 3-24 4-39 
1-62 2-43 3-29 4-48 
1-28 2-26 3-44 4-37 
1-61 2-51 3-45 4-23 
1-51 2-46 3-50 4-58 
1-51 2-50 3-46 4-51 
1-30 2-7 3-21 4-77 
1-64 2-19 3-55 4-57 
1-47 2-65 3-2 4-22 
1-36 2-62 3-62 4-35 
1-42 2-47 3-56 4-62 
1-48 2-51 3-46 4-67 
1-22 2-82 3-55 4-55 
1-45 2-52 3-33 4-42 
1-46 2-47 3-69 4-25 
1-62 2-59 3-66 4-26 
1-74 2-82 3-40 4-69 
1-85 2-71 3-50 4-42 
1-61 2-48 3-67 4-38 
1-49 2-75 3-45 4-70 
1-31 2-55 3-61 4-50 
1-78 2-41 3-57 4-70 
1-74 2-58 3-49 4-41 
1-62 2-20 3-21 4-50 
1-28 2-34 3-43 4-47 
1-41 2-31 3-56 4-47 
1-48 2-53 3-72 4-68 
1-67 2-48 3-63 4-30 
1-55 2-41 3-57 4-83 
1-82 2-50 3-33 4-40 
1-37 2-53 3-71 4-26 
1-48 2-30 3-26 4-51 
1-59 2-50 3-59 4-25 
1-38 2-18 3-32 4-72 
1-63 2-16 3-39 4-47 
1-36 2-87 3-42 4-56 
1-26 2-55 3-34 4-48 
1-34 2-43 3-45 4-49 
1-42 2-56 3-44 4-71 
1-18 2-47 3-36 4-55 
1-55 2-44 3-25 4-45 
1-50 2-49 3-33 4-54 
1-48 2-53 3-58 4-27 
1-56 2-58 3-40 4-52 
1-72 2-48 3-60 4-44 
1-58 2-35 3-50 4-28 
1-36 2-51 3-40 4-23 
1-72 2-42 3-67 4-55 
1-49 2-27 3-53 4-49 
1-72 2-77 3-81 4-64 
1-62 2-70 3-34 4-48 
1-60 2-63 3-47 4-36 
1-28 2-42 3-52 4-69 
1-40 2-64 3-50 4-41 
1-63 2-68 3-62 4-33 
1-16 2-37 3-34 4-58 
1-55 2-32 3-69 4-41 
1-17 2-66 3-33 4-58 
1-56 2-69 3-71 4-28 
1-46 2-48 3-21 4-41 
1-71 2-42 3-35 4-48 
1-59 2-62 3-32 4-36 
1-74 2-32 3-60 4-54 
1-56 2-48 3-39 4-39 
1-44 2-69 3-32 4-31 
1-51 2-37 3-74 4-26 
1-61 2-16 3-42 4-21 
1-38 2-51 3-29 4-41 
1-41 2-55 3-75 4-45 
1-76 2-60 3-46 4-53 
1-61 2-40 3-53 4-56 
1-57 2-50 3-44 4-40 
1-54 2-28 3-29 4-50 
1-47 2-45 3-49 4-38 
1-66 2-58 3-45 4-43 
1-44 2-21 3-73 4-35 
1-32 2-48 3-28 4-41 
1-46 2-46 3-54 4-38 
1-37 2-40 3-76 4-40 
1-43 2-92 3-55 4-64 
1-54 2-35 3-50 4-40 
1-77 2-25 3-78 4-55 
1-39 2-29 3-52 4-52 
1-43 2-51 3-27 4-63 
1-62 2-82 3-38 4-72 
1-41 2-16 3-62 4-63 
1-17 2-60 3-64 4-33 
1-35 2-46 3-55 4-33 
1-66 2-53 3-41 4-56 
1-96 2-76 3-60 4-44 
1-52 2-51 3-52 4-45 
1-71 2-40 3-25 4-56 
1-70 2-32 3-32 4-71 
1-20 2-46 3-59 4-66 
1-67 2-43 3-14 4-64 
1-55 2-15 3-47 4-46 
1-26 2-54 3-70 4-67 
1-48 2-46 3-65 4-42 
1-50 2-35 3-57 4-42 
1-61 2-45 3-30 4-47 
1-71 2-64 3-43 4-110 
1-40 2-51 3-32 4-41 
1-69 2-63 3-53 4-35 
1-62 2-47 3-73 4-39 
1-53 2-51 3-34 4-84 
1-42 2-59 3-15 4-34 
1-45 2-69 3-54 4-46 
1-64 2-49 3-23 4-17 
1-49 2-38 3-39 4-56 
1-62 2-43 3-27 4-40 
1-42 2-52 3-30 4-40 
1-73 2-47 3-31 4-68 
1-48 2-73 3-70 4-31 
1-33 2-50 3-56 4-25 
1-42 2-31 3-45 4-40 
1-58 2-55 3-37 4-66 
1-19 2-41 3-44 4-22 
1-58 2-25 3-75 4-50 
1-67 2-53 3-23 4-74 
1-70 2-54 3-48 4-58 
1-62 2-50 3-36 4-42 
1-46 2-70 3-23 4-28 
1-30 2-35 3-60 4-55 
1-71 2-63 3-54 4-30 
1-35 2-46 3-84 4-60 
1-69 2-34 3-42 4-63 
1-93 2-32 3-36 4-40 
1-49 2-61 3-50 4-60 
1-48 2-43 3-42 4-78 
1-52 2-43 3-35 4-47 
1-31 2-17 3-87 4-65 
1-54 2-79 3-63 4-73 
1-61 2-69 3-56 4-50 
1-13 2-31 3-16 4-50 
1-32 2-43 3-53 4-19 
1-58 2-43 3-67 4-47 
1-19 2-76 3-58 4-59 
1-72 2-45 3-66 4-45 
1-51 2-57 3-69 4-63 
1-57 2-52 3-75 4-53 
1-40 2-63 3-69 4-38 
1-31 2-40 3-33 4-47 
1-25 2-79 3-52 4-50 
1-52 2-67 3-47 4-44 
1-44 2-52 3-72 4-51 
1-47 2-36 3-46 4-55 
1-28 2-54 3-46 4-33 
1-50 2-24 3-22 4-66 
1-47 2-38 3-29 4-25 
1-46 2-36 3-63 4-46 
1-50 2-22 3-62 4-57 
1-69 2-35 3-34 4-53 
1-73 2-19 3-42 4-41 
1-77 2-55 3-50 4-21 
1-35 2-30 3-45 4-33 
1-60 2-16 3-72 4-48 
1-65 2-40 3-35 4-35 
1-28 2-35 3-50 4-43 
1-63 2-35 3-28 4-24 
1-51 2-58 3-76 4-67 
1-40 2-65 3-37 4-34 
1-4 2-46 3-31 4-55 
1-30 2-61 3-41 4-41 
1-51 2-20 3-57 4-32 
1-54 2-40 3-41 4-38 
1-18 2-51 3-52 4-38 
1-72 2-39 3-40 4-37 
1-29 2-51 3-46 4-50 
1-52 2-45 3-48 4-45 
1-46 2-52 3-42 4-68 
1-50 2-43 3-71 4-52 
1-52 2-60 3-33 4-65 
1-71 2-50 3-66 4-37 
1-69 2-53 3-52 4-29 
1-41 2-66 3-73 4-61 
1-56 2-69 3-57 4-48 
1-47 2-23 3-43 4-36 
1-56 2-65 3-15 4-49 
1-54 2-65 3-60 4-51 
1-41 2-43 3-64 4-47 
1-69 2-64 3-29 4-53 
1-58 2-41 3-33 4-39 
1-52 2-50 3-55 4-42 
1-39 2-45 3-45 4-26 
1-70 2-30 3-65 4-32 
1-45 2-39 3-45 4-57 
1-61 2-75 3-54 4-39 
1-49 2-55 3-73 4-48 
1-75 2-51 3-74 4-56 
1-27 2-58 3-36 4-41 
1-58 2-61 3-56 4-68 
1-43 2-72 3-38 4-44 
1-66 2-55 3-61 4-57 
1-75 2-38 3-32 4-15 
1-49 2-65 3-33 4-48 
1-67 2-42 3-54 4-20 
1-62 2-33 3-20 4-39 
1-19 2-32 3-50 4-33 
1-62 2-58 3-94 4-46 
1-38 2-45 3-40 4-54 
1-78 2-34 3-85 4-66 
1-35 2-33 3-27 4-38 
1-31 2-87 3-13 4-35 
1-66 2-53 3-67 4-97 
1-49 2-63 3-65 4-53 
1-55 2-57 3-25 4-43 
1-68 2-57 3-59 4-54 
1-53 2-61 3-66 4-49 
1-56 2-44 3-52 4-71 
1-57 2-55 3-42 4-65 
1-73 2-54 3-51 4-48 
1-48 2-37 3-40 4-53 
1-21 2-30 3-65 4-23 
1-34 2-59 3-37 4-20 
1-36 2-43 3-52 4-56 
1-25 2-50 3-79 4-61 
1-39 2-46 3-49 4-44 
1-70 2-48 3-77 4-39 
1-51 2-30 3-25 4-5 
1-28 2-30 3-48 4-26 
1-55 2-84 3-63 4-41 
1-47 2-44 3-46 4-27 
1-32 2-58 3-83 4-36 
1-23 2-51 3-43 4-31 
1-37 2-31 3-37 4-47 
1-26 2-64 3-38 4-13 
1-84 2-67 3-63 4-69 
1-77 2-34 3-34 4-79 
1-31 2-66 3-24 4-53 
1-51 2-63 3-38 4-9 
1-54 2-43 3-41 4-49 
1-19 2-57 3-53 4-59 
1-47 2-41 3-55 4-71 
1-41 2-26 3-55 4-55 
1-56 2-25 3-42 4-22 
1-70 2-85 3-33 4-48 
1-23 2-71 3-39 4-59 
1-37 2-27 3-39 4-25 
1-67 2-32 3-61 4-18 
1-57 2-62 3-48 4-74 
1-70 2-54 3-54 4-61 
1-55 2-58 3-65 4-64 
1-12 2-38 3-46 4-54 
1-72 2-48 3-41 4-61 
1-54 2-44 3-41 4-32 
1-45 2-66 3-43 4-53 
1-15 2-75 3-80 4-44 
1-33 2-74 3-43 4-35 
1-34 2-70 3-49 4-25 
1-59 2-52 3-67 4-48 
1-48 2-30 3-47 4-33 
1-46 2-42 3-66 4-35 
1-46 2-6 3-31 4-49 
1-33 2-77 3-54 4-38 
1-62 2-67 3-55 4-40 
1-43 2-58 3-54 4-38 
1-41 2-72 3-58 4-43 
1-49 2-50 3-66 4-34 
1-61 2-25 3-42 4-76 
1-44 2-61 3-52 4-49 
1-53 2-35 3-51 4-64 
1-58 2-68 3-82 4-25 
1-67 2-29 3-45 4-67 
1-36 2-28 3-55 4-66 
1-53 2-36 3-43 4-62 
1-59 2-36 3-44 4-56 
1-23 2-72 3-29 4-16 
1-28 2-72 3-65 4-47 
1-62 2-61 3-26 4-63 
1-62 2-50 3-25 4-49 
1-36 2-47 3-47 4-65 
1-29 2-40 3-49 4-43 
1-13 2-32 3-37 4-80 
1-26 2-44 3-63 4-46 
1-38 2-36 3-41 4-61 
1-29 2-50 3-69 4-50 
1-74 2-67 3-30 4-70 
1-35 2-70 3-45 4-70 
1-28 2-43 3-63 4-52 
1-32 2-36 3-53 4-53 
1-73 2-38 3-61 4-39 
1-77 2-34 3-35 4-73 
1-52 2-73 3-40 4-40 
1-50 2-57 3-29 4-86 
1-51 2-56 3-19 4-41 
1-69 2-49 3-50 4-51 
1-48 2-74 3-44 4-16 
1-58 2-46 3-55 4-59 
1-35 2-40 3-69 4-58 
1-47 2-24 3-52 4-54 
1-35 2-60 3-50 4-49 
1-29 2-42 3-42 4-35 
1-66 2-41 3-42 4-71 
1-35 2-38 3-47 4-22 
1-64 2-58 3-46 4-47 
1-55 2-24 3-64 4-43 
1-75 2-13 3-40 4-47 
1-51 2-27 3-39 4-57 
1-48 2-32 3-51 4-44 
1-69 2-33 3-44 4-52 
1-63 2-57 3-56 4-35 
1-45 2-49 3-67 4-38 
1-46 2-72 3-44 4-54 
1-69 2-53 3-63 4-28 
1-59 2-38 3-59 4-19 
1-50 2-24 3-61 4-55 
1-40 2-20 3-38 4-50 
1-23 2-30 3-47 4-79 
1-52 2-45 3-46 4-46 
1-63 2-29 3-54 4-22 
1-15 2-64 3-43 4-30 
1-48 2-30 3-38 4-29 
1-51 2-38 3-28 4-31 
1-63 2-42 3-62 4-50 
1-53 2-68 3-43 4-24 
1-33 2-63 3-64 4-47 
1-33 2-45 3-38 4-67 
1-70 2-35 3-67 4-72 
1-46 2-75 3-48 4-38 
1-33 2-55 3-64 4-57 
1-44 2-44 3-59 4-56 
1-37 2-62 3-61 4-19 
1-32 2-57 3-10 4-45 
1-57 2-66 3-29 4-42 
1-44 2-45 3-65 4-71 
1-65 2-60 3-29 4-60 
1-48 2-63 3-21 4-61 
1-48 2-59 3-34 4-76 
1-51 2-73 3-68 4-53 
1-60 2-61 3-71 4-40 
1-54 2-55 3-15 4-64 
1-68 2-39 3-65 4-51 
1-68 2-22 3-28 4-42 
1-45 2-54 3-74 4-46 
1-24 2-69 3-66 4-57 
1-68 2-56 3-49 4-74 
1-55 2-43 3-51 4-33 
1-35 2-45 3-47 4-69 
1-48 2-68 3-66 4-55 
1-55 2-46 3-64 4-73 
1-70 2-50 3-73 4-10 
1-60 2-40 3-74 4-51 
1-59 2-65 3-71 4-35 
1-53 2-36 3-66 4-33 
1-40 2-57 3-50 4-50 
1-52 2-41 3-67 4-56 
1-48 2-62 3-44 4-26 
1-65 2-43 3-47 4-39 
1-47 2-58 3-54 4-47 
1-71 2-48 3-53 4-64 
1-36 2-63 3-55 4-68 
1-77 2-63 3-52 4-47 
1-60 2-45 3-59 4-24 
1-62 2-45 3-31 4-63 
1-48 2-39 3-51 4-64 
1-35 2-57 3-69 4-69 
1-63 2-54 3-55 4-43 
1-53 2-55 3-72 4-45 
1-36 2-34 3-40 4-35 
1-64 2-34 3-52 4-35 
1-47 2-37 3-47 4-22 
1-35 2-57 3-49 4-73 
1-51 2-56 3-38 4-55 
1-42 2-48 3-54 4-43 
1-37 2-27 3-75 4-36 
1-45 2-40 3-42 4-45 
1-65 2-47 3-52 4-54 
1-46 2-49 3-41 4-39 
1-62 2-54 3-21 4-50 
1-48 2-56 3-33 4-20 
1-49 2-54 3-9 4-40 
1-44 2-47 3-40 4-57 
1-41 2-43 3-56 4-61 
1-35 2-17 3-64 4-48 
1-22 2-57 3-48 4-38 
1-69 2-24 3-53 4-82 
1-13 2-34 3-6 4-55 
1-49 2-39 3-34 4-52 
1-43 2-53 3-62 4-35 
1-76 2-37 3-59 4-42 
1-53 2-33 3-39 4-40 
1-34 2-33 3-34 4-50 
1-38 2-42 3-42 4-42 
1-59 2-53 3-46 4-29 
1-29 2-46 3-28 4-46 
1-23 2-44 3-56 4-33 
1-39 2-63 3-65 4-52 
1-38 2-47 3-43 4-43 
1-38 2-40 3-57 4-64 
1-61 2-64 3-47 4-51 
1-40 2-73 3-55 4-51 
1-80 2-48 3-53 4-40 
1-62 2-44 3-38 4-108 
1-65 2-67 3-34 4-34 
1-36 2-48 3-20 4-72 
1-59 2-49 3-54 4-40 
1-54 2-50 3-67 4-44 
1-37 2-27 3-33 4-44 
1-47 2-31 3-50 4-26 
1-17 2-60 3-76 4-61 
1-47 2-61 3-83 4-52 
1-2 2-46 3-54 4-43 
1-57 2-90 3-21 4-69 
1-54 2-54 3-45 4-34 
1-64 2-80 3-52 4-57 
1-52 2-30 3-77 4-42 
1-64 2-66 3-72 4-25 
1-52 2-42 3-39 4-67 
1-60 2-50 3-70 4-37 
1-67 2-51 3-76 4-42 
1-51 2-36 3-54 4-49 
1-75 2-71 3-43 4-34 
1-39 2-63 3-52 4-50 
1-49 2-45 3-64 4-51 
1-35 2-64 3-85 4-53 
1-20 2-59 3-71 4-38 
1-33 2-59 3-56 4-56 
1-64 2-61 3-86 4-39 
1-39 2-52 3-58 4-51 
1-39 2-80 3-35 4-46 
1-53 2-66 3-62 4-24 
1-38 2-51 3-78 4-42 
1-36 2-63 3-31 4-53 
1-41 2-70 3-33 4-38 
1-45 2-44 3-53 4-31 
1-51 2-42 3-53 4-32 
1-33 2-64 3-63 4-68 
1-40 2-64 3-52 4-50 
1-44 2-62 3-49 4-56 
1-27 2-62 3-44 4-37 
1-41 2-30 3-37 4-55 
1-59 2-72 3-42 4-13 
1-63 2-47 3-68 4-67 
1-33 2-73 3-49 4-48 
1-27 2-73 3-44 4-44 
1-46 2-22 3-45 4-39 
1-32 2-66 3-67 4-28 
1-58 2-85 3-73 4-44 
1-41 2-50 3-56 4-53 
1-43 2-68 3-54 4-27 
1-12 2-43 3-48 4-63 
1-57 2-66 3-39 4-23 
1-72 2-43 3-32 4-48 
1-43 2-54 3-27 4-53 
1-34 2-36 3-48 4-45 
